indicator	ISO Country code	population	surface area (Km2)	GINI index	happy planet index	happy planet index	human development index	human development index	sustainable economic development assessment (SEDA)	GDP growth (annual %)		GDP ($ USD billions PPP)				GDP per capita in $ (PPP)				Economic Growth		health expenditure % of GDP									health expenditure per person			infant mortality	maternal mortality per 100,000 live births		education expenditure % of GDP	education expenditure % of GDP	education expenditure % of GDP	Education as % of GDP		% of primary school aged kids out of school		unemployment (%)		% of population in extreme poverty	% of population with access to electricity	political rights score		civil liberties score		political stability & absence of violence		government effectiveness		regulatory quality		rule of law		control of corruption		judicial effectiveness score		government integrity score		overall economic freedom score		financial freedom score		government expenditure (% of GDP)	CO2e emissions per capita	share of electricity from renewables generation		% of seats held by women in national parliaments			Military Spending as % of GDP	
Madagascar	MDG	26,000,000	581,540	41	-	44.2	0.519	0.501	31.1	3	4.4	41.8	43.7	40.5	42.3	1630	1687	1544	1635	3.2	4.4	2.38	2.21	2.69	2.7	2.84	2.99	3.1		3.1	77	22.3	19.8	5.5	335		-	2.84	3.1	2.84	3.1	1.96	2.32	2.1	2.59		33.7	24	27	32	34	-0.33	-0.64	-1.1	-1	-0.7	-0.8	-0.86	-0.867	-1.05	-0.93	21.4	33.4	17.8	23	56.8	58.9	50	50	15.4	0.15	59.70%	41.30%	19.2	19	18	0.77%	0.60%
Malawi	MWI	19,000,000	94,080	46.1	22.1	38.7	0.477	0.512	32.5	3	2.75	27.2	28.6	28.9	29.7	1532	1602	1591	1658	4.39	2.75	4.84	5.61	4.75	4.03	3.32	3.71	2.91		2.91	108	37.4	30.4	7.4	349		4.8	3.32	2.91	3.32	3.71			6.7	7.02	29.3	14.9	26	29	37	37	-0.27	-0.11	-0.7	-0.8	-0.8	-0.8	-0.37	-0.238	-0.65	-0.3	47.1	53	28.9	29.4	52	53	50	50	31.3	0.08	99.10%	88.80%	16.7	17	23	0.95%	0.90%
Malaysia	MYS	32,000,000	328,657	46.2	30.3	41.7	0.802	0.803	59.8	5	3.13	869.5	908.1	856.8	883.6	28236	29621	27921	29617	4.84	3.13	5.21	4.89	4.75	4.68	4.48	4.16	3.92		4	1,064	426.5	436.6	5.3	29		5.2	4.48	3.92	4.48	3.92	0.26	1.6	3.3	4.61		100	18	20	27	30	0.16	0.14	0.8	1	0.7	0.7	0.41	0.558	0.03	0.17	65.2	57.6	54.8	53.9	74.5	68.1	50	50	24.9	7.93	10.40%	17.90%	10.4	14	15	1.06%	1.00%
Maldives	MDV	400,000	298	38.4	-	-	0.717	0.747	-	1.9	30.96	9.7	10.4	6.9	9	19243	20334	13442	18232	8.12	30.96	3.09	3.89	3.69	3.89	3.91	4.12			4	1,514	786.4	854.4	17.8	53		3.5	3.91	4.12	3.91	4.12	3.42	2	3.2	6.08		100	14	19	21	21	0.26	0.5	-0.5	0.4	-0.4	-0.5	-0.62	-0.172	-0.79	-0.37	38.8	32.1	36.6	43.1	51.1	47.3	30	30	42.6	3.97		0.40%	5.9	6	5		
Mali	MLI	19,000,000	1,220,190	40.1	-	39.3	0.427	0.428	29.7	6.1	3.07	43.6	45.6	45.1	46.5	2338	2420	2348	2447	4.75	3.07	3.65	3.8	3.09	3.79	3.91	3.48	3.76		3.76	118	33.4	34.3	5.6	562		3.6	3.91	3.76	3.91	3.76	40.99		8.1	7.72	3	50.6	17	8	27	24	-1.91	-2.35	-0.9	-1.2	-0.6	-0.6	-0.78	-0.902	-0.63	-0.87	32.4	34.1	31.4	28.3	57.6	55.9	40	40	22.2	0.3	54.00%	31.50%	8.8	9	27	2.82%	2.70%
Malta	MLT	400,000	316	28.1	29	43.5	0.878	0.918	68.8	6.3	9.41	21.6	22.9	21	22.9	45569	47408	43243	47714	6.03	9.41	7	5.02	5.08	4.65						3,471	2753.5	2531.9	35	6		7.2							5.3	3.5	0.1	100	36	35	56	54	1.27	0.97	1	0.9	1.3	0.8	1.14	0.864	0.74	0.32	62.8	89.9	49.9	55.8	68.5	71.5	60	50	40.4	3.29	7.90%	11.50%	11.9	12	13	0.51%	0.60%
Mauritania	MRT	3,800,000	1,030,700	37	18	34.7	0.52	0.556	28.9	1.9	2.3	22.9	24.2	23.8	24.3	5317	5570	5390	5592	4.53	2.3			1.94			1.82	1.88		1.88	177	57.3	57.9	14.8	766		-	15.2	15.75	15.2	15.75	19.69	23.14	11.7	11.46		47.3	9	14	21	21	-0.62	-0.67	-0.7	-0.7	-0.8	-1.1	-0.6	-0.671	-0.75	-0.82	17.6	29.9	28.9	23.5	54	55.3	40	40	30.1	0.87			25.2	20	20	2.38%	2.80%
Mauritius	MUS	1,300,000	2,030	35.9	27.4	51.5	0.79	0.802	60.2	3.4	4.04	28.1	28.9	24.6	25.6	22739	23835	20529	22240	3.76	4.04	4.92	4.89	5.01	5.02	4.83	4.72	4.61		5	1,099	656.6	685.9	29	61		4.9		1.88		1.88	1.3	0.33	7.8	7.41		99.7	37	36	52	50	0.99	0.86	0.9	0.8	1	1.2	0.68	0.873	0.2	0.47	69.6	81.7	52.1	56.5	75.1	70.9	70	70	25.4	3.29	23.80%	24.60%	11.6	12	20	0.17%	0.20%
Mexico	MEX	129,000,000	1,943,945	48.2	40.7	54.3	0.774	0.758	49.1	2.5	4.80	2,514.80	2,510.10	2,305.10	2,415.70	20096	19863	18671	20036	2.19	4.8	5.26	5.23	4.91	4.52	4.25				4	1,009	521	540.4	25.5	33		5.3	4.83	4.61	4.25	-	0.7	0.79	4	4.38	1	99.4	26	27	36	33	-0.65	-0.64	0	-0.3	0.2	-0.2	-0.57	-0.8	-0.93	-1	39	40.7	26.9	32	64.8	63.7	60	60	27	3.52	16.00%	21.90%	42.6	48	50	0.68%	0.50%
Moldova	MDA	3,600,000	32,891	26.8	-	51	0.7	0.767	48.7	-1.1	13.94	33.5	34.7	32.2	36.6	12659	13576	12942	15637	4.3	13.94	6.27	5.81	5.61	5.62	5.44	6.1	6.39		6.39	515	276.5	284.3	36.3	19		7.5	5.44	6.39	5.44	6.39	0.65	0.79	5	3.96		100	26	27	35	35	-0.24	-0.21	-0.5	-0.4	0	0	-0.41	-0.332	-0.8	-0.45	26.3	30.7	26.6	34.7	58.4	61.3	50	50	38	3.32	5.60%	4.90%	22.8	23	40	0.41%	0.40%
Mongolia	MNG	3,000,000	1,553,556	34	14.3	24.5	0.741	0.739	50.6	2.3	1.42	38.1	40.3	38.4	39	12316	13013	12366	12863	7.74	1.42	4.71	4.22	5.18	4.07	6.17	4.94			4.94	470	159.4	163.4				4.7	6.17	4.94	6.17	4.94			6.7	7.08	0.1	98.1	36	36	49	48	0.82	0.65	-0.3	-0.5	-0.1	-0.2	-0.3	-0.225	-0.45	-0.53	30.9	57.1	34.8	37	55.7	63.9	60	50	37.8		3.30%	9.90%	17.1	17	17	0.66%	0.70%
Montenegro	MNE	600,000	13,452	31.9	25.1	41.3	0.814	0.832	-	4.1	12.43	12.9	13.4	11.3	12.8	21513	23073	19990	22795	5.08	12.43										957	731.5	735.2	13.2	45		-				-	0.72	0.62	17.5	18.49	1	100	25	26	42	41	0.01	-0.15	0.2	0	0.3	0.4	0.01	-0.059	-0.09	-0.02	51.3	43	38.1	46.4	64.3	57.8	50	50	46.3	7.15	50.90%	59.50%	23.5	23	25	1.74%	1.60%
Morocco	MAR	36,000,000	446,300	40.9	32.7	50.9	0.667	0.683	45.8	4.5	7.37	272.5	279.6	262	281.4	7625	7865	7369	8144	3.15	7.37		4.65		5.12	5.35	5.93	6.75		6.75	435	174.8	174.2	2.5	70		-	5.35	6.75	5.35	6.75	0.21	0.45	10	11.47		100	14	13	25	24	-0.41	-0.4	-0.2	-0.1	-0.2	-0.1	-0.17	-0.253	-0.13	-0.43	44.3	32.7	41.3	41	61.9	59.2	70	70	31.4	1.96	15.70%	18.20%	20.5	21	23	4.18%	3.10%
Mozambique	MOZ	30,000,000	786,380	45.6	23.7	44.2	0.437	0.446	26.7	6.3	2.22	38	38.9	38.4	39.3	1321	1336	1297	1342	3.44	2.22	6.88	6.01	5.87	5.51	5.45	6.08	6.26		6.26	64	40.7	39.5	49	289		-	5.45	6.26	5.45	6.26	6.07	0.87	24.4	3.98		30.6	20	14	32	29	-0.98	-1.23	-0.9	-0.8	-0.7	-0.8	-1.01	-1.035	-0.86	-0.81	36.3	44.1	28.2	26.3	46.3	51.3	50	50	36.2	0.25	87.00%	79.50%	39.6	40	42	1.51%	0.90%
Myanmar	MMR	53,000,000	676,575	-	24.7	40	0.578	0.585	37	7	-17.98	240	256.2	264.3	216.8	4575	4940	5123	4345	6.4	-17.98	1.9	2.1	1.9	2.33	2.16	2.14			2.16	267	59.2	60	19.1	250		-	2.16	2.14	2.16	2.14	1.95		0.8	2.17		70.4	13	0	18	9	-1.08	-2.07	-1.1	-1.4	-0.8	-1.1	-0.95	-1.456	-0.56	-1.03	17.6	16.7	28.2	29.8	53.9	49.6	20	20	22.6	0.68	60.10%	48.30%	10.2	10	15	3.33%	
Namibia	NAM	2,300,000	823,290	59.7	21.6	36.8	0.647	0.615	39.1	4.5	2.43	24.7	24.5	22.5	23.1	10328	10223	9359	9805	1.06	2.43	9.58	9.85	10.64	9.71	8.88	8.93	9.45	9.64	9.64	942	464.5	427.3		195		-	8.88	9.64	8.88	9.64	1.52	1.61	25.6	21.68		56.3	30	31	47	46	0.65	0.55	0.2	0.1	-0.2	0	0.24	0.362	0.32	0.26	54.2	67.6	45.4	53.9	58.5	59.2	40	40	40.7	1.69	97.90%	96.00%	41.3	46	44	3.00%	3.00%
Nepal	NPL	29,000,000	143,351	32.8	30.5	53.1	0.574	0.602	41.7	3.4	4.25	106	113.1	110.4	115.1	13960	14097	14337	15103	7.62	4.25	3.47	3.26	3.9	4.77	4.43	4.24	4.39		4.39	151	51.1	53.2	23.8	186		4	4.43	4.39	4.43	4.39		4.35	3.2	5.05		89.9	25	25	30	32	-0.66	-0.24	-0.9	-0.9	-0.7	-0.6	-0.68	-0.467	-0.75	-0.53	36.2	34.1	24.6	33.8	54.1	49.7	30	30	20.3	0.47	100.00%	100.00%	29.6	33	33	1.34%	1.60%
Netherlands	NLD	17,000,000	33,893	30.3	35.3	54.9	0.931	0.941	80.3	1.9	5.04	966	984.9	947.5	995.2	57827	59004	59267	63767	2.36	5.04	5.46	5.35	5.48	5.18	5.36				5	5,313	5337	5335.3	1.8	5		5.5	5.36		5.36	-			6.2	4.01		100	40	39	59	58	0.92	0.92	1.9	1.8	2.1	1.8	1.83	1.739	1.87	2.04	74.1	96.9	86	92.3	76.2	79.5	80	80	45	8.44	14.70%	29.10%	36	36	39	1.42%	1.30%
New Zealand	NZL	4,700,000	264,537	36.2	31.3	57.4	0.917	0.937	78.6	3.4	4.65	210	214.7	212	221.8	42521	45555	44658	46420	3.36	4.65	6.34	6.33	6.41	6.26	6.05				6	3,530	4037.5	4211	5.7	9		6.4	6.05		6.05	-	0.38	0.41	5.2	4.12		100	40	40	58	59	1.59	1.44	1.8	1.4	2.1	1.8	1.92	1.818	2.24	2.2	88.4	95.9	95.7	97.5	84.2	80.6	80	80	41	6.83	80.80%	81.00%	34.2	38	49	1.37%	1.50%
Nicaragua	NIC	6,000,000	119,990	47.1	38.7	55.2	0.658	0.667	43.5	4.5	10.34	37	35.6	35	38.6	5867	5676	5574	6332	-3.36	10.34	4.08	4.08	4.08	4.36	4.47	4.6	4.63		4.63	406	173.5	160.8	3.6	98		-	4.47	4.63	4.47	4.63			5.9	5.96		88.9	12	5	32	18	-0.05	-0.47	-0.6	-0.9	-0.7	-0.8	-0.64	-1.356	-0.87	-1.24	19	19.5	24.2	19	58.9	54.8	50	50	25.8	0.8	51.60%	60.00%	45.7	46	51	0.60%	0.70%
Niger	NER	21,000,000	1,266,700	34	16.8	41.4	0.354	0.4	-	4	1.35	26.9	28.5	29.6	30	1229	1276	1288	1310	7.21	1.35	5.1	4.49	2.96	2.58	3.46	3.53	3.84		3.84	68	30.3	31.4	72.2	509		6.7	3.46	3.84	3.46	3.84	41.3	41.03	2.6	0.75	15.6	19.3	20	23	29	28	-1.3	-1.62	-0.7	-0.6	-0.7	-0.7	-0.68	-0.405	-0.65	-0.55	32.6	35.9	30.4	32.5	49.5	54.9	40	40	30.1	0.09	0.80%	4.10%	17	17	26	1.84%	1.80%
Nigeria	NGA	191,000,000	910,768	48.8	22.2	34.1	0.532	0.535	26.5	2.7	3.65	1,009.70	1,032.00	1,013.50	1,050.50	5278	5352	5186	5459	1.92	3.65										215	66.5	71.5	13.8	917		-				-			5	9.79	9	55.4	25	20	25	23	-1.94	-1.78	-1	-1	-0.9	-0.9	-0.87	-0.856	-1.07	-1.07	39.6	33.8	14.4	22.7	58.5	54.4	40	40	11	0.57	19.00%	21.00%	5.6	6	4	0.97%	0.50%
Norway	NOR	5,000,000	304,282	26.8	36.8	50.9	0.953	0.961	85.3	1.6	3.92	341.8	344.3	341.9	355.3	69808	66799	62645	79201	1.12	3.92	7.7	7.57	8.03	7.91	7.64				8	6,222	8271.9	8007.4	23.6	2		7.7	7.64		7.64	-	0	0.01	4.8	4.99	0.2	100	40	40	60	60	1.15	1.1	2	1.8	1.8	1.6	2.02	1.95	2.24	2.14	86	97.3	93.6	96	74.3	76.9	60	60	48.6	6.72	98.50%	99.00%	39.6	41	45	1.84%	1.70%
Oman	OMN	4,000,000	309,500	-	21.1	-	0.821	0.816	62.1	4.1	-3.2	157.4	155.6	150.7	0	33373	32604	31118		1.29	-3.2				5.84	5.21	5.41			5	1,636	678	624.7	35.3	19		-	5.21	5.41	5.21	5.41	3.24	1.63	17.5	3.12		100	6	6	17	18	0.74	0.51	0.2	-0.1	0.4	0.3	0.43	0.406	0.25	0.09	57.4	27.1	51.5	53.3	61	56.6	60	60	50	15.28		0.00%	1.2	1	2	7.34%	8.80%
Pakistan	PAK	197,000,000	770,875	30.7	31.5	45.1	0.562	0.544	27.9	4.2	6.03	1,123.60	1,151.60	1,136.30	1,204.90	5421	5542	5426	5878	6.15	6.03	2.47	2.65	3	2.9		2.51			2.51	134	42.9	39.5	12.3	140		2.5		2.51		2.51			5.9	4.35	0.6	75.4	19	15	24	22	-2.4	-1.67	-0.6	-0.4	-0.6	-0.7	-0.72	-0.637	-0.78	-0.79	34	28.5	27.3	27.4	54.4	48.8	40	40	19.8	0.88	33.00%	33.80%	20.6	20	20	3.83%	4.00%
Panama	PAN	4,000,000	74,340	50.7	39.5	57.9	0.789	0.805	54.5	5.8	15.34	129.6	133.5	109.6	126.4	31781	32767	26780	31680	3.69	15.34		2.84	2.85	2.88	2.88	3.13	3.91		4	1,543	1131.7	1192.8	10	52		-	2.88	3.91	2.88	3.91		10.51	5.8	12.09	0.4	96.7	35	35	48	48	0.39	0.29	0	0.2	0.4	0.2	0.04	-0.247	-0.54	-0.57	29.4	50.7	38.8	38	67	65.4	70	70	23.1	3.14	66.50%	66.50%	18.3	18	23	...	0.00%
Papua New Guinea	PNG	8,000,000	452,860	50.9	-	-	0.544	0.558	-	9	1.5	36.1	37.7	36.4	36.9	4290	4474	4286	4445	-0.28	1.5				1.96	1.87				1.87	99	63.5	65.1	3.7	145		-	1.87		1.87	-			2.5	2.75		60.4	25	23	38	39	-0.58	-0.58	-0.7	-0.9	-0.7	-0.8	-0.82	-0.74	-0.9	-0.76	55.1	44.2	33.1	26.2	55.7	54.6	30	30	24.5	0.86	23.80%	20.80%	0	0	0	0.38%	0.40%
Paraguay	PRY	7,000,000	397,302	51.7	23.3	47.6	0.702	0.717	46.2	3	4.2	89.2	88.9	88.1	91.8	13134	13148	13035	13976	3.2	4.2	4.79	3.34		3.09	3.28	3.47	3.3		3.3	724	390	388.4	14.2	129		-	3.28	3.3	3.28	3.3			5.4	7.21	0.2	100	27	28	37	37	0.12	0	-0.8	-0.6	-0.2	-0.2	-0.65	-0.557	-0.72	-1.01	28.2	37.9	28.3	29.5	62.1	62.9	60	60	24.4	1.17	100.00%	100.00%	13.8	15	16	0.97%	1.00%
Peru	PER	32,000,000	1,279,996	45.3	34.6	55.9	0.75	0.762	49.3	3.3	13.35	408.9	418	372.2	421.9	13087	13401	11908	13895	3.97	13.35	3.7	3.97	3.81	3.93	3.71	3.82	4.25		4.25	671	365.9	370.1	20.9	88		3.7	3.71	4.25	3.71	4.25	1.42		4.9	4.83	1.8	99.3	31	30	42	42	-0.26	-0.41	-0.1	-0.3	0.4	0.1	-0.5	-0.516	-0.5	-0.63	33.5	49.7	36.6	39.7	68.7	66.5	60	60	21.9	1.75	54.00%	61.60%	27.7	28	40	1.12%	1.20%
Philippines	PHL	105,000,000	298,170	44.4	35	57.1	0.699	0.699	44.5	5.8	5.7	908.3	963.8	872.1	921.8	8720	9291	8394	9120	6.34	5.7	2.79	3.33	3.57	4.4	3.13	3.23	3.88		3.88	323	128.6	142.1	15.7	121		-	3.13	3.88	3.13	3.88	3.8	3.56	5.9	2.41	0.5	96.8	27	25	35	30	-1.24	-0.93	-0.1	0.1	0	0.1	-0.41	-0.642	-0.48	-0.51	38.2	25.6	34.4	34.7	65	61.1	60	60	18.9	1.35	26.50%	21.80%	29.5	29	28	1.04%	1.00%
Poland	POL	38,000,000	304,255	30.8	27.5	45	0.865	0.876	67.7	3.6	5.73	1,202.80	1,259.90	1,227.90	1,298.30	31953	33798	34287	37503	5.35	5.73	4.94	4.81	4.63	4.56	4.62				5	1,704	978.7	1014	52.4	2		4.9	4.62		4.62	-	2.16	1.14	6.2	3.37	0.1	100	36	34	49	47	0.52	0.51	0.6	0.3	0.9	0.8	0.47	0.445	0.73	0.57	56.6	54.7	50.9	60.6	68.5	68.7	70	70	41.7	7.77	14.60%	20.40%	28	28	28	2.12%	2.00%
Portugal	PRT	10,000,000	91,470	33.9	24.8	46.3	0.847	0.866	70.8	1.5	4.88	350.1	359.5	329.1	345.2	34929	36172	34177	35888	2.85	4.88	5.12	4.89		5.02	4.68				5	2,661	2216.3	2221.4	16.2	8		5.1	4.68		4.68	-	0.42	0.36	11.2	6.65	0.2	100	39	39	58	56	1.08	0.95	1.3	1	0.9	0.7	1.13	1.133	0.87	0.77	70.1	92.1	56.8	67.8	63.4	70.8	60	60	48.4	4.34	49.80%	61.60%	34.8	35	40	2.07%	1.90%
Qatar	QAT	2,600,000	11,586	-	-	24.3	0.856	0.855	70.8	3.3	1.52	253	255	245.7	249.5	93143	93844	89961	93521	1.23	1.52	3.61			2.97		2.8	3.23		3	3,900	1730.2	1807.2	5.6	9		3.6		3.23		3.23	1.34	1.92	0.2	0.26		100	7	7	17	18	0.55	0.96	0.7	1.1	0.4	0.9	0.72	0.928	0.73	0.81	59.8	38.8	71.6	60	72.6	67.7	60	60	36.4	32.47		0.00%	0	10	4	4.81%	1.50%
Romania	ROU	20,000,000	229,891	27.3	28.8	46.2	0.811	0.821	60	3.7	5.88	555.5	578.7	557	589.8	29342	31867	32202	35414	4.47	5.88	3.12	3.11	2.98	3.1	3.34				3	1,090	687.2	738.6	4.4	19		3.1	3.34		3.34	-	12.5	12.68	6.4	5.17	0.8	100	35	35	49	48	0.06	0.53	-0.2	-0.1	0.5	0.3	0.39	0.408	-0.03	-0.04	59.7	64.8	40	45.4	69.4	67.1	50	50	33.2	3.82	41.30%	47.70%	20.7	21	19	1.95%	2.00%
Russia	RUS	144,000,000	16,377,742	41.2	18.7	34.9	0.816	0.822	57	-3.7	4.82	3,914.00	4,000.00	3,892.70	4,080.30	28821	30068	29916	32803	2.81	4.82	4.01	3.83	3.76	4.69	4.68				5	1,414	609	653.4	30.3	17		-	4.68		4.68	-	0.16	0.07	5.7	5.01	0	100	5	5	15	14	-0.67	-0.65	-0.1	-0.2	-0.5	-0.5	-0.79	-0.87	-0.89	-0.9	46.9	34.7	38.1	29.7	58.2	56.1	30	30	35.3	11.8	16.90%	19.70%	15.8	16	16	4.08%	3.90%
Rwanda	RWA	12,000,000	24,668	50.4	19.6	39.2	0.524	0.534	38	6.9	10.88	25.7	28.1	27.2	30.1	2139	2322	2214	2494	8.58	10.88	4.2	3.65	3.44	3.13	3.07	3.24	3.33	3.82	3.82	143	52.3	51.4	31.8	248		-	3.07	3.82	3.07	3.82	4.32	6.34	2.5	1.61		100	8	8	15	14	0.04	0.17	0.3	0.3	0.2	0.1	0.13	0.201	0.63	0.6	79.6	26.6	61.2	54.7	69.1	57.1	40	40	27.2	0.11	50.00%	48.00%	61.3	61	61	1.55%	1.20%
Saudi Arabia	SAU	33,000,000	2,149,690	45.9	-	41.6	0.853	0.875	62.6	3.4	3.24	1,605.30	1,610.60	1,544.00	1,594.00	48768	48984	46778	49551	2.51	3.24			8.51	8.02	7.09	6.79	7.81		8	3,121	1341.5	1316.3	39.9	17		-	7.09	7.81	7.09	7.81		5.18	5.5	7.36		100	0	1	7	6	-0.62	-0.58	0.3	0.5	0	0.3	0.1	0.23	0.36	0.31	60.2	35.8	49.9	50.7	59.6	55.5	50	50	40	15.28	0.00%	0.10%	19.9	20	20	6.59%	8.00%
Senegal	SEN	16,000,000	192,530	40.3	21.9	51.2	0.505	0.511	38.4	6.5	6.06	52.5	54.9	55.6	59	3389	3510	3504	3769	6.21	6.06	5.72	5.46	5.11	4.62	4.86	5.35	5.5		5.5	97	61.8	59.1	1.8	315		7.4	4.86	5.5	4.86	5.5		24.64	9.5	3.72	1.8	70.4	31	29	44	39	-0.04	-0.17	-0.3	0.1	-0.2	-0.3	-0.15	-0.364	-0.09	0.06	40.4	49.8	42.6	47.8	55.7	60	40	40	30.2	0.65	11.10%	14.30%	41.8	42	43	1.76%	1.50%
Serbia	SRB	7,000,000	77,474	38.7	29	53.2	0.787	0.802	54.9	0.7	7.39	121.9	127.1	125.9	135.3	17718	18822	19094	21432	4.5	7.39	3.93	3.79	3.63	3.71	3.58	3.62			4	1,324	617.1	641	50.3	12		4.2	3.58	3.62	3.58	3.62	1.43	2.89	16.5	11.81	1.2	100	28	21	45	41	0.1	-0.13	0.2	0	0	0.1	-0.19	-0.092	-0.37	-0.44	48.2	50.4	36.5	37.9	62.5	65.2	50	50	44.5	6.62	28.30%	31.10%	34.4	34	39	2.09%	2.20%
Sierra Leone	SLE	8,000,000	71,620	34	15.3	29	0.419	0.477	32.9	-21.5	3.05	12.7	13.3	13.1	13.5	1694	1777	1727	1816	3.46	3.05	2.66	3.06	3.06	4.66	6.99	7.45	8.81		8.81	256	44.3	46.2	11.1	1120		2.7	6.99	8.81	6.99	8.81			3	5.33	6	26.2	28	28	38	37	0.03	-0.16	-1.2	-1.1	-0.9	-1	-0.79	-0.818652034	-0.59	-0.43	29.6	41.9	22	32.4	51.8	52	20	20	18.4	0.12	62.90%	91.40%	12.4	12	12	0.61%	0.70%
Singapore	SGP	6,000,000	709	45.9	-	45.5	0.932	0.939	81.8	2	7.61	554.5	560.6	537.3	578.3	100686	102431	99681	116486	3.66	7.61	2.92	2.86	2.87	2.77	2.86	2.74	2.51		3	3,681	2667.7	2632.7	16.6	8		-	2.86	2.51	2.86	2.51	0.2	0.1	1.8	3.62		100	19	19	33	28	1.59	1.49	2.2	2.3	2.1	2.2	1.82	1.858	2.13	2.17	90.9	58.3	91.2	92.8	88.8	84.4	80	80	17.7	8.31	3.30%	3.50%	23	23	30	2.98%	3.20%
Slovakia	SVK	5,000,000	48,105	23.7	28.2	46.6	0.855	0.848	67.4	3.6	3.02	169.7	174.1	166.5	171.6	31215	31967	31356	33010	3.79	3.02	4.23	4.59	3.91	3.94	3.97				4	2,062	1299.9	1342.1	1.8	5		4.2	3.97		3.97	-	4.43	3.29	10	6.74	0.1	100	36	37	53	53	0.88	0.56	0.8	0.5	0.8	0.9	0.57	0.706	0.22	0.24	38.8	71.9	38.2	53.7	65.3	69.7	70	70	43.1	5.7	23.70%	25.00%	20	20	23	1.71%	1.80%
Slovenia	SVN	2,100,000	20,151	24.4	24.6	47.9	0.896	0.918	72.6	2.9	8.11	78.8	81.3	77.9	84.2	38962	40671	39725	43625	4.42	8.11	5.29	4.91	4.79	4.78	4.94				5	2,734	2169.6	2219.1	2.1	7		5.3	4.94		4.94	-	0.23	0.11	8.7	4.42	0	100	39	38	54	52	0.89	0.76	1.2	1.2	0.6	0.8	1.02	1.03	0.81	0.72	57.7	91.6	52.1	66.7	64.8	70.5	50	50	47.9	6.51	30.50%	36.20%	36.7	24	27	1.22%	1.10%
Solomon Islands	SLB	600,000	27,986	-	-	-	0.546	0.564	-	3.3	-0.18	833.9	850.9	801.9	832.1	2762	2773	2618	2656	3.94	-0.18	9.81	10.13	12	12.11	10.81	11.13	12.75		12.75	173	96.4	111.9	80.1	104		-	10.81	12.75	10.81	12.75	4.38	6.65	31.4	1.03		73.3	28	30	44	49	0.21	0.49	-1	-0.9	-0.8	-0.9	-0.21	-0.352	0.11	-0.14	57.3	59.5	36.8	42.3	57.5	56.5	30	30	46.3	0.54		5.30%	2	2	8		
Somalia	SOM	15,000,000	627,337	-	-	-	-	-	-	3.7	3.33	1.8	1.8	1.7	1.7	1157	1237	1246	1302	7.68	3.33										-			4.9	829		-				-			6.6	19.86		49.7	1	1	6	6	-2.33	-2.68	-2.2	-2.1	-2.3	-1.8	-2.31	-2.273	-1.72	-1.78	25.4	-	17.8	-	-	-	-	-	-	0.04	1.40%	5.00%	24.4	24	24	...	
South Africa	ZAF	57,000,000	1,214,470	62.5	15.9	36.2	0.699	0.713	38.5	1.3	4.91	17	18.3	18.8	19.4	14207	14289	13359	14420	1.49	4.91	5.49	5.48	5.44	5.6	5.64	5.92	6.19		6	1,086	564.5	546.7	41.7	119		6	5.64	6.19	5.64	6.19	11.01	10.79	25.9	33.56		84.4	32	33	46	46	-0.27	-0.71	0.3	0	0.2	-0.1	-0.01	0.131	-0.01	0.02	65.9	61.3	45.4	48.4	63	56.2	50	50	32.6	7.51	2.40%	7.00%	42	43	47		1.00%
South Sudan	SSD	13,000,000	644,329	46	-	-	0.388	0.385	-	-		801.9	802.8	751.2	788.1						-	1.23	1.47	1.54							71	26.7	22.6	50.3	1150		1.7							-	13.91		7.2	-2	-3	4	4	-2.46	-2.3	-2.5	-2.4	-1.9	-2	-1.94	-2.045	-1.71	-1.82	-	-	-	-	-	-	-	-	-	0.15	0.60%	0.70%	28.5	28	32	2.37%	3.40%
Spain	ESP	47,000,000	498,980	35.9	36	52.3	0.891	0.905	71.8	3.2	5.13	1,883.90	1,923.20	1,715.10	1,803.00	40696	41695	37756	40775	2.29	5.13	4.3	4.29	4.23	4.21	4.18					3,183	2740.3	2711.2	1.7	4		4.3	4.18		4.18	-	3.08	2.8	19.4	14.73	0.6	100	38	37	56	53	0.27	0.58	1	0.9	0.9	0.8	1.01	0.876	0.49	0.74	62	74.3	51.5	67.2	65.1	68.2	70	70	43.7	5.09	36.20%	46.00%	39.1	39	43	1.37%	1.20%
Sri Lanka	LKA	21,000,000	64,630	39.2	33.8	46.8	0.77	0.782	49.3	5.2	3.66	278.7	285.2	274.9	284.9	13168	13632	13227	14127	3.27	3.66	1.93	2.23			2.14	1.93			1.93	353	162.1	160.7	33.9	36		1.9	2.14	1.93	2.14	1.93	0.54		5	5.39		100	24	23	31	32	-0.06	-0.32	-0.2	-0.1	-0.1	-0.4	0.06	0.038	-0.45	-0.33	52	57.7	30.7	40.1	57.8	53.3	40	40	18.9	1.09	49.80%	33.20%	5.8	6	5	1.88%	1.90%
Sudan	SDN	41,000,000	1,861,484	-	-	39.6	0.502	0.508	26.5	3.5	0.11	182.7	178.7	172.2	172.4	4474	4350	4142	4217	-2.68	0.11										277	59.5	46.9	28.9	295		-				-	32.87		13.3	19.81		55.4	4	0	4	10	-2.01	-1.94	-1.4	-1.6	-0.6	-1.5	-1.11	-1.21	-1.54	-1.29	21.4	13.2	21.2	14.6	49.4	32	20	20	12.5	0.48	65.70%	55.20%	30.5	31		1.02%	1.60%
